Date,AAPL.US,MSFT.US,NVDA.US,JPM.US,GS.US,BAC.US,JNJ.US,UNH.US,AMZN.US,MCD.US,XOM.US,CVX.US,CAT.US,HON.US,T.US
2025-09-19,244.8074,515.7852,176.6506,310.2671,796.8354,51.6877,174.1526,331.8614,231.48,298.9065,111.1012,152.9881,463.2356,195.1887,28.0746
2025-09-22,255.3576,512.3196,183.5898,307.9606,797.3897,51.3612,172.1955,336.4053,227.63,299.5095,110.3134,152.8314,468.7562,194.8438,27.9875
2025-09-23,253.7122,507.1212,178.4104,308.2563,798.142,51.1436,174.5381,342.7037,220.71,299.7072,112.214,154.1731,467.9222,195.1329,27.8617
2025-09-24,251.5982,508.0374,176.9506,308.9266,784.3929,51.1436,174.6468,346.7646,220.21,300.8341,112.8147,155.8968,466.4626,194.4709,27.4068
2025-09-25,256.1453,504.9303,177.6705,308.9561,786.6992,51.292,175.6748,340.6042,218.15,298.8275,113.829,157.405,460.4356,193.6318,27.3875
2025-09-26,254.7393,509.342,178.1704,311.5287,794.3706,51.6481,177.6319,339.1454,219.78,301.7337,115.4342,156.8566,462.4611,194.0887,27.3972
2025-09-29,253.7122,512.469,181.83,311.164,795.9643,51.8558,179.5198,340.2296,222.17,299.5095,112.4799,152.8803,468.2697,195.1049,27.1649
2025-09-30,253.9117,515.8051,186.5595,310.9078,788.2731,51.0348,183.2758,340.3479,219.57,300.3992,111.0323,152.087,473.7705,196.2422,27.3294
2025-10-01,254.7293,517.5578,187.2194,306.2554,777.5431,50.1346,183.8986,343.3049,220.63,297.0679,110.2839,151.3917,477.4145,195.9439,26.6617
2025-10-02,256.4046,513.6042,188.8693,303.1407,771.4752,49.9367,183.8294,348.6472,222.41,296.4353,109.5945,150.2066,487.0954,196.7177,26.1391
2025-10-03,257.2921,515.2076,187.5994,305.5852,781.9677,50.095,186.4586,355.0342,219.51,297.5226,111.5345,150.3829,494.3239,194.8904,26.1875
2025-10-06,255.9658,526.3811,185.5196,306.229,788.6988,49.8477,185.9842,353.6248,220.9,292.6394,112.4602,150.8432,491.8714,194.8438,25.0358
2025-10-07,255.7564,521.8101,185.0197,304.7532,781.6411,49.7488,186.7057,358.4446,221.78,292.9162,112.5193,151.7149,483.2628,194.8251,25.3165
2025-10-08,257.332,522.6765,189.0892,301.1281,768.6343,49.3036,187.4965,364.6148,225.22,291.0182,112.283,150.569,498.5636,195.6362,25.4036
2025-10-09,253.3233,520.2367,192.5489,302.6138,772.0493,49.2542,188.8704,362.4168,227.74,290.435,111.1899,148.5123,496.8161,190.3969,25.2584
2025-10-10,244.5781,508.844,183.1399,298.0181,756.6076,48.1264,188.5146,349.416,216.37,293.5982,109.0431,145.8288,487.8203,187.3018,25.3054
2025-10-13,246.9613,511.9212,188.2993,305.0305,778.8002,48.3342,188.6925,353.5163,220.07,296.6626,110.5301,148.8061,501.1849,189.1663,25.0315
2025-10-14,247.071,511.4432,180.0102,299.1967,762.9427,49.5509,188.6431,354.7681,216.39,301.0615,110.5793,149.2469,523.7341,194.4802,25.5597
2025-10-15,248.6366,511.3038,179.8103,302.7723,760.1414,51.7174,188.9594,355.9706,215.57,301.7436,109.9097,148.9726,530.2675,188.7841,25.501
2025-10-16,246.7519,509.4913,181.79,295.6905,750.4012,49.8972,189.8984,351.5549,214.47,301.8227,108.9544,148.5809,537.1285,189.4087,25.6282
2025-10-17,251.5783,511.4532,183.1999,294.7199,743.1554,50.7281,190.9856,351.4859,213.04,304.5509,110.5301,149.9226,523.3468,189.2129,25.7651
2025-10-20,261.5002,514.6499,182.6199,299.4741,755.5781,51.4799,191.4799,359.2529,216.48,304.2346,110.9831,151.2937,528.9331,192.0749,25.5303
2025-10-21,262.0287,515.5163,181.1401,294.2544,751.2821,50.9655,189.6611,360.1301,222.03,303.948,110.9929,150.618,522.4307,194.9184,25.4814
2025-10-22,257.7209,518.3844,180.2602,291.3028,737.048,50.5501,190.7089,356.3057,217.95,306.5477,112.9624,152.3613,511.7362,192.6157,24.9924
2025-10-23,258.8477,518.4043,182.14,291.7287,743.1653,51.203,190.2443,355.2807,221.09,303.4438,114.2131,153.3308,518.2983,205.7233,24.0826
2025-10-24,262.0785,521.4417,186.2395,297.5724,775.9296,52.0042,188.1983,357.3013,224.21,302.2774,113.6321,152.3515,520.5188,201.5002,24.5913
2025-10-27,268.0516,529.3189,191.469,301.247,781.9776,52.4494,188.0994,360.7313,226.97,306.439,114.1737,152.0772,524.8405,200.5027,24.9728
2025-10-28,268.2411,539.8252,201.0079,302.4454,784.0563,52.301,184.7684,362.5647,229.25,302.8804,113.2776,150.951,522.2515,199.8873,25.1391
2025-10-29,268.9391,539.3074,207.0173,302.594,775.1179,52.0141,184.4422,350.1651,230.3,298.8769,114.6759,151.901,583.0134,198.4703,24.5913
2025-10-30,270.6343,523.5828,202.8677,306.4865,782.1459,52.4593,186.8639,339.8058,222.86,298.956,112.9427,150.3535,580.6833,197.9359,24.1413
